Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
8.7668375,3.323177396,1009.9961189719,605.1190916404,0.4319393252,1.2965264851,1.8420480921,95396.3721014742,0.0432432305,0.1388693218,-0.0002602622,-0.0012032153
8.7811,3.321704717,1009.5254934937,606.1065441808,0.4326294025,1.2986900612,1.848085216,95643.607221326,-3.65232599920535E-005,0.144849591,5.37185317770425E-005,0.0008622335
8.7953625,3.320232038,1009.0548680155,607.1021709868,0.4333195273,1.3008542402,1.8541318953,95890.9163430925,-0.0396022954,0.1163051779,-0.0002433739,0.0027628182
8.809625,3.318759359,1008.5842425373,608.1047611695,0.4340097006,1.3030190253,1.8601881298,96138.2985011396,-0.0602507407,0.0614202702,-0.0009849072,0.0040533722
8.8238875,3.3172866801,1008.1136170591,609.1119072029,0.434699923,1.30518442,1.8662539195,96385.7527344732,-0.0534072688,-0.0040893886,-0.0018297697,0.0044638868
8.83815,3.3158140011,1007.6429915809,610.1204319554,0.4353901955,1.3073504275,1.8723292645,96633.2780843743,-0.0199293133,-0.0618720927,-0.002380212,0.0039739563
8.8524125,3.3143413221,1007.1723661027,611.126944271,0.4360805189,1.3095170512,1.8784141655,96880.8735892558,0.0301516076,-0.0965948142,-0.0023183392,0.0028098771
8.866675,3.3128686431,1006.7017406245,612.1284281082,0.4367708939,1.3116842946,1.8845086234,97128.5382800268,0.0808550958,-0.1005700075,-0.0015170457,0.0013663823
8.8809375,3.3113959641,1006.2311151463,613.1227653432,0.4374613214,1.313852161,1.8906126394,97376.2711788308,0.1154020875,-0.0759039178,-8.95196000165206E-005,7.8734416767088E-005
8.8952,3.3099232851,1005.7604896681,614.1091027709,0.438151802,1.3160206537,1.8967262148,97624.0713031276,0.1216339888,-0.0335128683,0.0016387719,-0.0007136795
8.9094625,3.3084506061,1005.28986419,615.0879987063,0.4388423368,1.3181897759,1.9028493509,97871.9376727039,0.0959617837,0.0106429353,0.0032268,-0.0008688762
8.923725,3.3069779271,1004.8192387118,616.0613213432,0.4395329263,1.3203595311,1.908982049,98119.8693168009,0.0445809834,0.0408708807,0.0042525602,-0.0004771973
8.9379875,3.3055052481,1004.3486132336,617.0319145383,0.4402235715,1.3225299227,1.91512431,98367.8652776516,-0.0184315879,0.0468780358,0.0044426005,0.0001803804
8.95225,3.3040325691,1003.8779877554,618.0030894514,0.4409142732,1.3247009542,1.9212761346,98615.9246090485,-0.075520823,0.0270682953,0.0037552909,0.0007357581
8.9665125,3.3025598902,1003.4073622772,618.978033617,0.4416050322,1.326872629,1.9274375231,98864.0463722239,-0.1111362285,-0.0110480534,0.0023915817,0.0008643957
8.980775,3.3010872112,1002.936736799,619.959245017,0.4422958495,1.3290449508,1.9336084758,99112.2296310877,-0.1165326166,-0.0534436133,0.0007303443,0.0003999727
8.9950375,3.2996145322,1002.4661113208,620.9480936226,0.4429867257,1.3312179229,1.9397889925,99360.4734505713,-0.0923543335,-0.08429855,-0.0007904338,-0.0006046377
9.0093,3.2981418532,1001.9954858426,621.9445880968,0.4436776627,1.3333915513,1.9459790731,99608.7772586737,-0.048192363,-0.0913055239,-0.001808127,-0.0018900026
9.0235625,3.2966691742,1001.5248603644,622.9473868379,0.444368664,1.3355658478,1.9521787178,99857.1413616982,0.0007122566,-0.0698158782,-0.002142477,-0.0030721174
9.037825,3.2951964952,1001.0542348862,623.9540473295,0.4450597307,1.3377408166,1.9583879266,100105.564941508,0.0385209805,-0.0244716518,-0.0018413141,-0.0037667922
9.0520875,3.2937238162,1000.583609408,624.9614674714,0.4457508637,1.3399164614,1.9646067003,100354.047077908,0.0539452552,0.0322063972,-0.0011514254,-0.0037156467
9.06635,3.2922511372,1000.1129839299,625.9664404842,0.4464420639,1.3420927857,1.9708350396,100602.586847444,0.0438091251,0.0838071792,-0.0004255203,-0.0028724681
9.0806125,3.2907784582,999.6423584517,626.9662259982,0.4471333321,1.3442697931,1.9770729457,100851.183319824,0.0138780732,0.1152840336,3.00051211548531E-006,-0.0014217364
9.094875,3.2893057793,999.1717329735,627.9590373869,0.4478246691,1.3464474871,1.9833204201,101099.835558142,-0.0232890327,0.1177547118,-6.44463235829715E-005,0.0002766335
9.1091375,3.2878331003,998.7011074953,628.944358881,0.4485160759,1.3486258714,1.9895774641,101348.542622916,-0.0527258836,0.0912804998,-0.0006241146,0.0017981558
9.1234,3.2863604213,998.2304820171,629.9230344621,0.4492075533,1.3508049493,1.9958440794,101597.303578625,-0.0622087884,0.0447281897,-0.0014724416,0.0027839966
9.1376625,3.2848877423,997.7598565389,630.8971105319,0.4498991022,1.3529847247,2.0021202671,101846.117499289,-0.0464519417,-0.0072182756,-0.0022771754,0.0030482222
